Model,Manufacturing_year,Transmission,Sunroof,ABS,Digital_Conditioning,Steering_Control,Airbags,Chrome_Wheel,Technical_Status,Distance(KM),Price
Kia_Rio,2011,Manual,No,No,No,No,No,No,Good,30000,5500000
Kia_Rio,2011,Manual,Yes,No,No,No,No,No,Good,30000,5800000
Kia_Rio,2011,Manual,No,Yes,No,No,No,No,Good,30000,5800000
Kia_Rio,2011,Manual,No,No,Yes,No,No,No,Good,30000,5800000
Kia_Rio,2011,Manual,No,No,No,Yes,No,No,Good,30000,5600000
Kia_Rio,2011,Manual,No,No,No,No,Yes,No,Good,30000,5600000
Kia_Rio,2011,Manual,No,No,No,No,No,Yes,Good,30000,5700000
Kia_Rio,2011,Manual,No,No,No,No,No,No,Good,120000,5300000
Kia_Rio,2011,Manual,No,No,No,No,No,No,Good,160000,5100000
Kia_Rio,2011,Manual,Yes,No,No,No,No,No,Good,130000,5600000
Kia_Rio,2011,Manual,Yes,No,No,No,No,No,Good,170000,5400000
Kia_Rio,2011,Manual,No,No,No,No,No,Yes,Good,140000,5500000
Kia_Rio,2011,Manual,No,No,No,No,No,Yes,Good,180000,5300000
Kia_Rio,2011,Manual,No,No,No,No,Yes,No,Good,117000,5400000
Kia_Rio,2011,Manual,No,No,No,No,Yes,No,Good,167000,5200000
Kia_Rio,2011,Manual,No,No,No,No,No,Yes,Bad,180000,4300000
Kia_Rio,2011,Manual,Yes,No,No,No,No,No,Normal,130000,5100000
Kia_Rio,2011,Manual,No,Yes,No,No,No,No,Normal,30000,5300000
Kia_Rio,2011,Manual,No,No,No,No,No,No,Normal,120000,4800000
Kia_Rio,2011,Manual,Yes,No,No,No,No,No,Bad,170000,4400000
Kia_Rio,2011,Manual,Yes,No,No,No,No,No,Normal,170000,4900000
Kia_Rio,2011,Manual,No,No,No,No,No,No,Good,35000,5500000
Kia_Rio,2011,Manual,Yes,No,No,No,No,No,Good,40000,5800000
Kia_Rio,2011,Manual,No,Yes,No,No,No,No,Good,33000,5800000
Kia_Rio,2011,Manual,No,No,Yes,No,No,No,Good,37000,5800000
Kia_Rio,2011,Manual,No,No,No,Yes,No,No,Good,39000,5600000
Kia_Rio,2011,Manual,No,No,No,No,Yes,No,Good,35000,5600000
Kia_Rio,2011,Manual,No,No,No,No,No,Yes,Good,42000,5700000
Kia_Rio,2011,Manual,Yes,Yes,No,No,No,No,Good,30000,6100000
Kia_Rio,2011,Manual,Yes,No,Yes,No,No,No,Good,30000,6100000
Kia_Rio,2011,Manual,Yes,No,No,Yes,No,No,Good,30000,5900000
Kia_Rio,2011,Manual,Yes,No,No,No,Yes,No,Good,30000,5900000
Kia_Rio,2011,Manual,Yes,No,No,No,No,Yes,Good,30000,6000000
Kia_Rio,2011,Manual,Yes,Yes,No,No,No,No,Good,45000,6100000
Kia_Rio,2011,Manual,Yes,No,Yes,No,No,No,Good,50000,6100000
Kia_Rio,2011,Manual,Yes,No,No,Yes,No,No,Good,55000,5900000
Kia_Rio,2011,Manual,Yes,No,No,No,Yes,No,Good,60000,5900000
Kia_Rio,2011,Manual,Yes,No,No,No,No,Yes,Good,57000,6000000
Kia_Rio,2011,Manual,Yes,No,No,No,Yes,No,Normal,60000,5400000
Kia_Rio,2011,Auto,No,No,No,No,No,No,Good,30000,6200000
Kia_Rio,2011,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Good,30000,7500000
Kia_Rio,2011,Manual,No,Yes,No,No,No,Yes,Good,30000,6000000
Kia_Rio,2011,Manual,No,Yes,No,No,No,No,Good,30000,5800000
Kia_Rio,2011,Manual,Yes,Yes,No,No,No,No,Good,30000,6100000
Kia_Rio,2011,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Good,40000,7500000
Kia_Rio,2011,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Good,45000,7500000
Kia_Rio,2011,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Good,47000,7500000
Kia_Rio,2011,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Good,38000,7500000
Kia_Rio,2011,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Good,32000,7500000
Kia_Rio,2011,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Good,36000,7500000
Kia_Rio,2011,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Good,43000,7500000
Kia_Rio,2011,Manual,No,Yes,No,No,No,No,Good,44000,5800000
Kia_Rio,2011,Manual,No,Yes,No,No,No,No,Good,31000,5800000
Kia_Rio,2011,Auto,No,No,No,No,No,No,Good,130000,6000000
Kia_Rio,2011,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Good,140000,7300000
Kia_Rio,2011,Manual,No,No,No,No,No,No,Good,106000,5300000
Kia_Rio,2011,Manual,Yes,Yes,Yes,Yes,Yes,Yes,Good,124000,6600000
Kia_Rio,2011,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Normal,140000,6800000
Kia_Rio,2011,Auto,No,No,No,No,No,No,Good,65000,6200000
Kia_Rio,2011,Auto,Yes,Yes,Yes,Yes,Yes,Yes,Good,70000,7500000
Kia_Rio,2011,Manual,No,Yes,No,No,No,Yes,Good,68000,6000000
Kia_Rio,2011,Manual,No,Yes,No,No,No,No,Good,75000,5800000
Kia_Rio,2011,Manual,Yes,Yes,No,No,No,No,Good,80000,6100000
Kia_Rio,2011,Auto,Yes,No,No,No,No,No,Good,30000,6500000
Kia_Rio,2011,Auto,No,Yes,No,No,No,No,Good,30000,6500000
Kia_Rio,2011,Auto,No,No,Yes,No,No,No,Good,30000,6500000
Kia_Rio,2011,Auto,No,No,No,Yes,No,No,Good,30000,6300000
Kia_Rio,2011,Auto,No,No,No,No,Yes,No,Good,30000,6300000
Kia_Rio,2011,Auto,No,No,No,No,No,Yes,Good,30000,6400000
Kia_Rio,2011,Auto,Yes,No,No,No,No,No,Good,85000,6500000
